ref,Permission Type,Development Description,Scheme Name,Site Name,Primary Street Name,Post Code,EAST DULWICH,Permission Date,Date construction completed,Proposed Total Residential Units,Proposed Total Affordable Units,CashinLieuAffordableHousing
10-AP-2849,Full,"Redevelopment of the former public house site with a part five and part six storey building to provide 19 residential flats (14 x 2 bed, 4 x 3 bed and 1 x 4 bed) with communal rooftop amenity space and internal refuse and cycle storage.",,"Hand In Hand, 37",Arch Street,SE1 6PQ,CHAUCER,13/01/2011,20/02/2014,19,7,0
11-AP-0024,Full,"Demolition of building and erection of part 3/ 4 storey building comprising 22 residential units (7x1 and 13 x 2 and 2 x 3 bedroom flats), basement storage and associated parking  landscaping,  amenity space (shared and private) and class D1 community facility (shown as library).",,18 - 22,Grove Vale,SE22 8EF,EAST DULWICH,30/03/2012,31/12/2018,20,7,
11-AP-0257,Full,"Redevelopment of site involving the demolition of the existing public house and the erection of 1 x 4 bed end of terrace dwellinghouse on ground, first and second floors (attached to no.12 Belfort Road) and a three storey block of 6 x 2 bed flats with a principle frontage to Lausanne Road (total 7 units), 10 cycle parking spaces and associated landscaping.",,44,Lausanne Road,SE15 2JD,NUNHEAD,22/03/2011,31/03/2012,7,7,0
11-AP-0914,Full,Retention of front facade at 143-147 Rye Lane and construction of 9 residential units (6x 2 bedrooms and 3x 3 bedrooms) on the upper floors of the site at 143-149 Rye Lane; with internal corridors connecting to the site at 1-15 Bournemouth Road; in a maximum 4 storey building with retail at ground floor and associated refuse and cycle storage to be provided as part of the development at 1-15 Bournemouth Road. This application is in association with planning application references: 06-AP-0069 and 11-AP-0069.,,143-149,Rye Lane,SE15 4ST,THE LANE,14/07/2011,21/08/2013,9,7,0
13-AP-0294,Full,"Erection of a basement and part 3, part 4 and part 5 storey building to provide 8 residential units fronting Long Lane (5 x 2 bed and 3 x 3 bed), plus provision of cycle parking, refuse store and associated landscaping works",,202-204,Long Lane,SE1 4QB,CHAUCER,01/07/2013,03/03/2016,7,7,
13-AP-0955,Full,"Construction of 7  dwellings (3 x 4 bedroom and 4 x 5 bedroom) ranging in height from two to three storeys; associated refuse storage, cycle parking and landscaping.",,151-161,Gordon Road,SE15 3RT,THE LANE,23/05/2014,13/04/2017,7,7,
13-AP-3584,Details/Reserve Matters,"APPLICATION FOR THE APPROVAL OF RESERVED MATTERS (ACCESS, SCALE, APPEARANCE, LAYOUT AND LANDSCAPING) FOR PLOT H10 WITHIN MP1 (MASTERPLAN FIRST PHASE) OF THE HEYGATE MASTERPLAN, SUBMITTED PURSUANT TO THE OUTLINE PLANNING PERMISSION REF: 12/AP/1092. THE PROPOSALS COMPRISE THE CONSTRUCTION OF A DEVELOPMENT PLOT RANGING BETWEEN 3 AND 10 STOREYS IN HEIGHT (MAXIMUM BUILDING HEIGHT 37.23M AOD), COMPRISING 69 RESIDENTIAL UNITS, CAR PARKING, MOTORCYCLE PARKING, CYCLE STORAGE, SERVICING, PLANT AREAS, NEW LANDSCAPING, AND OTHER ASSOCIATED WORKS.",Elephant Park,"Plot 10, Mp1 (South Gardens)",Heygate Street,SE17,EAST WALWORTH,10/02/2014,05/05/2017,69,7,
0201990,Full,Redevelopment by construction of a part 5/6 storey building comprising commercial at ground floor (shops/restaurants/offices) with 26 flats above.,,"'The Bacon Factory', 57-59",Great Suffolk Street,SE1,CATHEDRALS,11/09/2003,31/07/2007,26,6,
04-AP-1776,Full,"Development for 6 two storey two-bedroom houses in two clusters; a terrace of four dwellings to west of site and a pair of semi-detached dwellings to the east.  Each dwelling has a garden space and off street parking, accessed from Water Mews.",,Land Adjacent To 21,Water Mews,SE15,PECKHAM RYE,22/03/2007,31/08/2009,6,6,
05-AP-0135,Full,"Part 5/6 storey building for 23 self/ contained flats, 11 p.s.",,174-178,Long Lane,SE1 4BS,CHAUCER,29/04/2005,01/11/2006,23,6,
05-AP-2358,Full,"Conversion of two houses (shared supported housing) to supported housing of 5x 1 bedroom flats, retain one existing 2 bed flat, communal lounge & office.",,10-11,Wren Road,SE5 8QS,CAMBERWELL GREEN,16/01/2006,31/03/2007,6,6,
06-AP-0840,Full,"Demolition of building and erection of  four storey building comprising 18 residential units with landscaping, parking.",,220,Farmers Road,SE5 0TW,CAMBERWELL GREEN,18/03/2008,03/07/2012,18,6,
09-AP-2193,Full,Change of use of existing Health Centre space (Class D1) at first floor to provide 6 residential units (Class C3); associated external alterations; cycle parking.,Bermondsey Spa Regenerati,Site E(West),Old Jamaica Road,SE16,RIVERSIDE,08/08/2010,28/02/2010,6,6,0
10-AP-1355,Full,Erection of a three storey building comprising six houses (Class C3) following demolition of existing public house,,"St Georges Tavern, 63",Camilla Road,SE16 3NL,SOUTH BERMONDSEY,27/07/2010,20/12/2011,6,6,0
10-AP-2091,Full,"Erection of building of part five, part four and part two storeys above ground floor level, to provide a residential scheme of 18 residential units (4x 1-bed, 10x 2-bed and 4x 3-bed), with two on site car parking spaces, and 18 cycle parking spaces.",,"Marlborough Public House, 67-69",Sedgmoor Place,SE5 7SE,BRUNSWICK PARK,04/07/2011,06/06/2014,18,6,0
10-AP-3008,Full,"Seven storey building to provide 23 residential units on first to sixth floors with Class D1 community use on the ground floor; solar panels on the roof, refuse and cycle storage.",,Felton Hall,George Row,SE16 4UP,RIVERSIDE,01/04/2011,14/09/2012,23,6,0
10-AP-3239,Full,"The redevelopment of the site to erect a 4 storey building comprising 111 sqm of retail space (Use Class A1), 12 flats (3 x one bedroom, 7 x two bedroom and 2 x three bedroom), associated amenity areas, 2 disabled parking spaces on Asylum Road and refuse/recycling store.",,139,Queens Road,SE15 2NB,LIVESEY,08/02/2011,07/03/2015,12,6,0
11-AP-0140,Full,Development of a 4 storey building with a fifth floor set back to provide 22 residential units with Class D1 community use on the ground floor; one on-site car parking space.,,Land On The East Side Of,Crosby Row,SE1,GRANGE,13/04/2011,01/02/2013,22,6,
11-AP-0217,Full,"Erection of a building of five storeys comprising 37 residential units (7 x 3bed, 13 x 2bed, 17 x 1bed), commercial units for use as office/community use (B1/D1), and associated servicing, cycle parking and car parking (4 car parking spaces and 46 cycle parking spaces).",,20-30,Wilds Rents,SE1 4QG,CHAUCER,03/08/2011,04/04/2014,37,6,
12-AP-2859,Full,Demolition of existing part single part two storey public house (Use Class A4) and erection of a 7 storey plus basement building to provide a shop (Use Class A1) and 19 residential units together with associated plant room refuse store and cycle parking.,,"Valentine & Orson Ph, 171",Long Lane,SE1 4PN,GRANGE,21/02/2013,03/03/2015,19,6,
12-AP-2942,Full,"Demolition of the existing buildings and redevelopment to provide 873 sqm (GIA) of flexible commercial floorspace (A1, A2, B1 and D1 Uses) at ground floor, with 29 residential units above, in a part 3 / 4 and 5 storey building, with associated amenity spaces, refuse store, cycle parking for 44 cycles and 2 disabled parking spaces.",,4-10 & 7-9,Lamb Walk,SE1 3TT,GRANGE,21/12/2012,03/03/2015,29,6,
15-AP-0915,Full,"Change of use from redundant community facilities comprising conversion of ground floor pram stores to_x005F_x000D_
residential comprising: 1 x one bedroom 2 person flat and 1 x three bedroom 5 person flat including installation_x005F_x000D_
of new doors and windows and fenced front and rear amenity spaces; Removal of first floor hall and meeting_x005F_x000D_
rooms and construction of first and second floors to form 2 x one bedroom 2 person flats flats and 2 x 3_x005F_x000D_
bedroom 5 person flats",Falcon House,Pelican Estate,Lyndhurst Way,SE15 5AS,THE LANE,30/11/2015,06/07/2018,6,6,
07-AP-2375,Full,"Re-development of site with two blocks of part five /six storeys comprising one commercial unit on ground floor, and 18  flats on upper floors with car parking and cycle storage.",,4 - 28,Varcoe Road,SE16 3DG,LIVESEY,06/02/2008,20/05/2011,18,5,
08-AP-2894,Full,"Conversion of two storey residential property containing eight bedsit units with shared bathroom/kitchen facilities to provide four self contained studio flats (Flats: 1 - 4), and a one bedroom self contained flat (Flat: 5), together with on-site office for project worker and communal lounge area. Erection of first floor rear extension and replacement of existing windows with UPVC double glazed units throughout, to match existing fenestration.",,8-10,Oswyth Street,SE15 8NH,BRUNSWICK PARK,19/05/2009,16/03/2010,5,5,0
11-AP-2577,Full,"Erection of a part 4 storey, part 5 storey mixed use development comprising commercial floor space (A1 Class retail) at ground floor and basement level, 3 x three bedroom, 9 x two bedroom and 3 x one bedroom flats (total 15 units) at first to fourth floor levels and an internal courtyard; with a disabled parking bay.",,157-159,New Kent Road,SE1 4AG,CHAUCER,19/12/2011,01/11/2012,15,5,0
12-AP-1630,Full,"Demolition of disused public house and construction of a part two/part three/part four storey block of 20 flats comprising 6 x one bed, 10 x two beds, 4 x three beds, together with associated amenity space, 9 car parking bays and 26 cycle parking spaces, with vehicle access onto Wanley Road.",,44,Wanley Road,SE5 8AT,SOUTH CAMBERWELL,14/12/2012,06/06/2014,20,5,
0101131,Full,Demolish existing buildings for 3 storey inc basement building of 4x maisonettes.,,149,Underhill Road,SE22,COLLEGE,21/10/2002,31/03/2007,4,4,
06-AP-0462,Full,"Refurbishment and conversion of existing buildings to form 4 self contained maisonette units (1 x 5-bedroom unit, 1 x 4-bedroom unit and 2 x 3-bedroom units).",,146-148,Queen's Road,SE15 2HR,NUNHEAD,31/07/2006,25/10/2007,4,4,
06-AP-0796,Full,Change of use of the ground floor from vacant commercial units into 15 self-contained flats; provision of 9 additional car parking spaces.,,South City Court,Peckham Grove,SE15 6AN,BRUNSWICK PARK,08/02/2010,31/03/2012,14,4,0
08-AP-1381,Full,De-conversion of 8 flats to four single dwellinghouses with external alterations.,,2 - 5 Saint George's Terrace,Peckham Hill Street,SE15 6DA,LIVESEY,18/09/2008,20/07/2009,4,4,
08-AP-1669,Full,"Conversion of three storey house in multiple occupation providing supported accommodation comprising eight bedsits with shared bathroom / kitchen facilities, to supported accommodation comprising four self-contained studio flats with communal lounge and facilties and integral staff office, including single-storey ground floor rear extension with new windows.",,311,Rotherhithe Street,SE16 5LJ,SURREY DOCKS,11/09/2008,14/09/2009,4,4,
10-AP-0663,Full,"Demolition of existing buildings on the site and development of four, three storey, five bedroom houses. Provision of vehicular access, 4 car parking spaces and 8 cycle parking spaces together with works of hard and soft landscaping.",,113a,Lorrimore Road,SE17 3NA,NEWINGTON,16/09/2010,13/04/2012,4,4,0
13-AP-1235,Full,"Demolition of existing vacant building and erection of a part four, part seven, part nine storey building comprising twenty flats",,226,Hillingdon Street,SE17 3JD,NEWINGTON,24/01/2014,01/02/2019,20,4,
0101061,Full,"Construct 4 storey block to extend existing ground floor nursery, 3 flats 1st to 3rd floors.",,"Bird In The Bush Nursery, 616",Old Kent Road,SE15,LIVESEY,25/10/2001,31/12/2006,3,3,
0300632,Full,"Construction of 1x detached, 2x semi-detached 2-storey houses + parking/ amenity space.",,"Rear Of, 6-10",Ellery Street,SE15,THE LANE,07/05/2003,26/03/2007,3,3,
10-AP-1965,Full,"Demolition of existing residential garages and erection of two storey building to provide 3 No. three bedroom family terrace houses, including one wheelchair accessible unit.  Provision of private amenity space, cycles and bin storage.",,Garages Site,Caulfield Road,SE15 2DE,NUNHEAD,29/09/2010,31/03/2012,3,3,0
10-AP-3458,Full,"Erection of a 4-storey building comprising social club at ground floor level (Use Class D1) and 17 flats (Use Class C3), following the demolition of the existing building on the site.",,"Southwark Park Club, 386",Southwark Park Road,SE16 2ET,ROTHERHITHE,24/02/2011,19/11/2013,17,3,0
11-AP-0196,Full,"The erection of 9, three and four storey town houses (1x3 bed, 6x4 bed, 2x5 bed) in a terrace with 7 car parking spaces with access from St Giles Road, cycle and associated refuse storage together with alterations to the listed boundary wall.",,"The Wilfred Sheldon Centre, St Giles Hospital",St Giles Road,SE5 7RN,BRUNSWICK PARK,12/05/2011,01/05/2013,9,3,0
13-AP-2311,Full,"Demolition of two existing retail units at 237 and 239 and car-wash site, and erection of a four to seven storey building comprising services and retail space at ground level, with 27 new residential units above.",,237-247 And Car Wash,Rye Lane,SE15 4TP,THE LANE,09/09/2014,30/11/2017,27,3,
14-AP-1085,Full,"DEMOLITION OF EXISTING VACANT OFFICE BUILDING FOLLOWED BY THE ERECTION OF 14 RESIDENTIAL UNITS IN A PART 3, PART 4 STOREY BUILDING COMPRISING X5 ONE BED UNITS, X6 TWO BED UNITS, AND X3 THREE BED UNITS, COMPLETE WITH ROOF MOUNTED SOLAR PANEL INSTALLATIONS AND ASSOCIATED LANDSCAPING, BOUNDARY TREATMENTS, CAR PARKING AND REFUSE STORAGE AREAS",,170,Sumner Road,SE15 6JL,PECKHAM,01/01/2015,01/02/2019,14,3,
0201723,Full,Constuction of 2x 2 storey detached houses.,,149,Gordon Road,SE15,THE LANE,31/12/2002,17/07/2007,2,2,
0202129,Full,Erect 2x two-bedroom houses with associated garden space.,,Site Adjacent To 8,Nimegen Way,SE22 8TL,VILLAGE,28/02/2003,30/04/2009,2,2,
09-AP-1263,Full,"Conversion of former Community Centre to two five bedroom split level maisonette dwellings, with elevational alterations and ramped access to front.",,9 Pear Court,East Surrey Grove,SE15 6PF,PECKHAM,14/08/2009,31/03/2011,2,2,0
09-AP-2154,Full,Conversion of existing dwelling on ground and first floors into 1 x three bedroom flat and 1 x five bedroom maisonette with elevational alteration to front comprising new entrance door.,,Danube Court,Daniel Gardens,SE15 6LP,PECKHAM,01/12/2009,13/05/2011,2,2,0
09-AP-2842,Full,"Change of use of existing ground floor estate offices to provide 2 x 4 bed residential flats, together with alterations to fenestration.",,"Kingsey House, Kingswood Estate",Bowen Drive,SE21 8PH,COLLEGE,26/05/2010,28/02/2011,2,2,0
10-AP-3684,Full,Conversion of vacant health centre at ground floor level into 2 x 2 bedroom flats,,"Whaddon House, East Dulwich Estate",Albright  Road,SE22 8AQ,SOUTH CAMBERWELL,10/03/2011,03/12/2013,2,2,0
12-AP-0035,Full,"ERECTION OF A PART 5, PART 6 STOREY BUILDING (MAXIMUM 19.55M TO TOP OF BUILDING) FRONTING NEWINTON BUTTS COMPRISING RETAIL (CLASS A1) FLOOR SPACE ON THE GROUND FLOOR AND 8 RESIDENTIAL UNITS ON THE UPPER FLOORS",,130-138,Newinton Butts,SE11,CATHEDRALS,27/08/2014,08/08/2017,8,2,
13-AP-0568,Full,"Redevelopment of vacant site to provide a four storey building comprising 2 three bed maisonettes, 7 one bed flats, 4 two bed flats and 1 three bed flat (14 total) above ground floor commercial unit (A1 retail /A2 financial and professional services / B1 office/ D1 community) and associated landscaping, cycle storage, disabled parking and recycling facilities",,247-251 & 2-8,Lower Road,SE16 2LS,SURREY DOCKS,20/12/2013,03/03/2016,14,2,
13-AP-3581,Details/Reserve Matters,"APPLICATION FOR THE APPROVAL OF RESERVED MATTERS (ACCESS, SCALE, APPEARANCE, LAYOUT, LANDSCAPING) FOR PLOT H6 WITHIN MP1 (MASTERPLAN FIRST PHASE) OF THE HEYGATE MASTERPLAN SUBMITTED PERSUANT TO OUTLINE PLANNING PERMISSION REF 12-AP-1092. THE PROPOSALS COMPRISE THE CONSTRUCTION OF A DEVELOPMENT PLOT RANGING BETWEEN 3 AND 16 STOREYS IN HEIGHT (MAXIMUM BUILDING HEIGHT 55.23M AOD), COMPRISING 224 RESIDENTIAL UNITS, 695SQM OF FLEXIBLE RETAIL (CLASSES A1-A4), BUSINESS (CLASS B1), NON-RESIDENTIAL INSTITUTION (CLASS D1) AND LEISURE (CLASS D2) USES, CAR PARKING, MOTORCYCLE PARKING, CYCLE STORAGE, SERVICING, PLANT AREAS, NEW LANDSCAPING AND OTHER ASSOCIATED WORK.",Elephant Park,"Plot H6, Western Most Portion Of Mp1",Heygate Street,SE17 1NA,EAST WALWORTH,10/02/2014,01/08/2018,224,2,
07-AP-1189,Full,"Change use of former estate office (B1) to residential (two-bedroom flat) through internal conversion, and minor external alterations",,"Block D, Peabody Square",Blackfriars Road,SE1 8HZ,CATHEDRALS,24/08/2007,14/02/2010,1,1,
07-CO-0143,Full,De-conversion of terraced house from one flat and one maisonette into a single dwelling,,51,Elmwood Road,SE24 9NS,VILLAGE,26/11/2007,31/07/2008,1,1,
07-CO-0144,Full,"De-conversion of terraced house from one flat and one maisonette into a single dwelling_x005F_x000D_
De-conversion of terraced house from one flat and one maisonette into a single dwelling_x005F_x000D_
De-conversion of terraced house from one flat and one maisonette into a single dwelling",,46,Glengarry Road,SE22 8QD,VILLAGE,26/11/2007,27/06/2008,1,1,
07-CO-0145,Full,"De-conversion of terraced house from two flats into a single dwelling_x005F_x000D_
De-conversion of terraced house from one flat and one maisonette into a single dwelling_x005F_x000D_
De-conversion of terraced house from one flat and one maisonette into a single dwelling",,47,Friern Road,SE22 0AU,PECKHAM RYE,26/11/2007,21/05/2008,1,1,
07-CO-0146,Full,De-conversion of terraced house from two flats into a single dwelling.,,359,Ivydale Road,SE15 3ED,PECKHAM RYE,26/11/2007,11/04/2008,1,1,
07-CO-0147,Full,"De-conversion of terraced house from two flats into a single dwelling_x005F_x000D_
_x005F_x000D_
De-conversion of terraced house from one flat and one maisonette into a single dwelling",,37,Naylor Road,SE15 1QJ,LIVESEY,26/11/2007,14/07/2008,1,1,
07-CO-0148,Full,"De-conversion of terraced house from two flats into a single dwelling_x005F_x000D_
_x005F_x000D_
De-conversion of terraced house from one flat and one maisonette into a single dwelling",,39,Naylor Road,SE15 1QJ,LIVESEY,26/11/2007,21/07/2008,1,1,
09-AP-2005,Full,"Conversion of redundant drying room within the lower ground floor of rear section to Holderness House into a self-contained 4 bedroom flat, including the installation of a new ground floor balcony and external alterations to existing door and windows, with associated internal alterations.",,Holderness House,Champion Hill,SE5 8DR,SOUTH CAMBERWELL,23/06/2010,30/09/2011,1,1,
09-AP-2769,Full,Demolition of existing property at 136 Underhill Road and erection of a new two-storey end of terrace house.,,136,Underhill Road,SE22 0QJ,PECKHAM RYE,23/03/2010,06/06/2012,1,1,0
09-AP-2843,Full,Change of use of ground floor communal laundry to a 1 x 3 bed flat together with canopy to front entrance and alterations to fenestration.,,"Markham House, Kingswood Estate",Bowen Drive,SE21 8QQ,COLLEGE,12/04/2010,28/02/2011,1,1,0
09-AP-2844,Full,Change of use of ground floor communal laundry to a 1 x 4 bed flat together with alterations to fenestration.,,"Bereford House, Kingswood Estate",Bowen Drive,SE21 8NX,COLLEGE,13/04/2010,28/02/2011,1,1,0
09-CO-0048,Full,"Conversion of redundant drying room within the lower ground floor of rear section of the building into a self contained 4/5 bedroom flat, including elevational alterations to create new windows and a door and new ground floor balcony.",,"Appleshaw House, Champion Hill Estate",Champion Hill,SE5 5DW,SOUTH CAMBERWELL,22/07/2009,30/09/2011,1,1,0
09-CO-0111,Full,"Conversion of redundant drying room within the ground floor of rear section to Leconfield House into a self-contained 4 bedroom flat, including the installation of a new ground floor balcony and external alterations to existing door and windows, with associated internal alterations. Together with alterations to the existing parking area to provide a parking space for this unit and the provision of a cycle storage space",,Leconfield House,Champion Hill,SE5 8AY,SOUTH CAMBERWELL,23/06/2010,30/09/2011,1,1,
10-AP-0143,Full,Change of use from vacant childrens nursery to a self-contained flat together with associated external alterations including removal of add-on conservatory structure.,,5 Otford House,Staple Street,SE1 4LS,CHAUCER,15/06/2010,30/11/2010,1,1,0
10-AP-1473,Full,De-conversion of sheltered housing bedsits back to a single family dwelling,,56,Linden Grove,SE15 3LF,PECKHAM RYE,16/11/2010,01/06/2013,1,1,0
10-AP-2161,Full,Use of the existing dwelling from two separate units to a single family dwelling house.,,13,Tyrrell Road,SE22 9NA,PECKHAM RYE,20/09/2010,20/09/2010,1,1,0
10-AP-3677,Full,Conversion of a redundant communal drying room on the fourth floor to a one bedroom flat (Use Class C3.,,"1-16 Bodney House, Gelebe Estate",Peckham Road,SE5 8QL,BRUNSWICK PARK,03/03/2011,01/08/2013,1,1,0
10-AP-3679,Full,Conversion of a redundant communal drying room into a one bedroom flat located on the roof top (fourth floor),,17-28 Bodeney House,Peckham Road,SE5 8QL,BRUNSWICK PARK,03/03/2011,01/08/2013,1,1,0
10-AP-3681,Full,Conversion of redundant communal drying room at fourth floor level into a one bedroom flat (Use Class C3),,"Dawson House, Glebe Estate",Peckham Road,SE5 8UR,BRUNSWICK PARK,22/03/2011,01/08/2013,1,1,0
10-AP-3682,Full,Conversion of a redundant communal drying room on the fourth floor to a one bedroom flat (Use Class C3),,"Dryden House, Glebe Estate",Peckham Road,SE5 8UN,BRUNSWICK PARK,03/03/2011,01/08/2013,1,1,0
12-AP-1449,Full,Change of use from a nursery (D1 use) to a 4 bedroom self-contained residential unit (C3 use).,,"Mayward House, 24-25",Benhill Road,SE5 7NA,BRUNSWICK PARK,09/11/2012,05/05/2014,1,1,
12-AP-1558,Full,Conversion of a former neighbourhood office to a self contained two bedroom flat located on the ground floor of an existing residential block,,"1, Bew Court",Lordship Lane,SE22 8NZ,COLLEGE,12/07/2012,03/03/2015,1,1,0
13-AP-1476,Full,Adaptation of an existing redundant drying room on the top floor of Bodeney House to provide a one bedroom two person dwelling.,,Bodeney House,Peckham Road,SE5 8QL,BRUNSWICK PARK,15/07/2013,01/01/2015,1,1,
13-AP-1632,Full,"Conversion of existing vacant ancillary ground floor laundry rooms to provide 1 x three bedroom residential unit with alterations to doors and windows to the elevations, creation of a walled outdoor amenity space and a bin / cycle storage area.",,Part Of Ground Floor,Champion Hill,SE5 8AY,SOUTH CAMBERWELL,02/08/2013,13/03/2015,1,1,
13-AP-2736,Full,Converison of loft space into residential flat including enlargement of 3no. dormers and 5no. skylights,,"Dombey House, Dickens Estate",Wolseley Street,SE1 2BL,RIVERSIDE,18/10/2013,05/03/2015,1,1,
13-AP-2738,Full,"Conversion of loft space into a residential flat including the enlargement of two existing dormers, creation of a new dormer and skylight installation.",,"Tapley House, Dickens Estate",Wolseley Street,SE1 2BW,RIVERSIDE,17/10/2013,01/01/2015,1,1,
13-AP-4103,Full,"Refurbishment of block, comprisng of new doors and windows and conversion of existing storage area at fourth floor level into a one bedroom flat",,"Badminton House, Dog Kennel Hill Estate",Quorn Road,SE22 8BH,SOUTH CAMBERWELL,19/03/2014,03/03/2016,1,1,
14-AP-0531,Full,Change of use from an ancillary management office to a residential one-bed flat.,,"Flat 2, 47",Bush Road,SE8 5AP,ROTHERHITHE,20/06/2014,22/06/2014,1,1,
14-AP-1569,Full,"CHANGE OF USE OF EXISTING GROUND FLOOR LAUNDRY INTO A 2 BEDROOM SELF CONTAINED FLAT, REPLACEMENT WINDOWS AND FRONT DOOR ENTRANCE,INSERTION OF A NEW DOOR WINDOW TO REAR, LANDSCAPING AND ASSOCIATED INTERNAL AND EXTERNAL WORKS",,Bew Court,Lordship Lane,SE22 8NZ,COLLEGE,03/09/2014,06/02/2015,1,1,
14-AP-4102,Full,CHANGE OF USE OF VANCANT FIRST FLOOR OFFICES ABOVE TRA HALL TO PROVIDE A THREE BED RESIDENTIAL UNIT AND EXTERNAL ALTERATIONS INCLUDING THE REPLACEMENT OF WINDOWS,,"Millpond Tenants Hall, 210a",Jamaica Road,SE16 4RT,RIVERSIDE,19/03/2015,11/11/2016,1,1,
15-AP-0595,Full,CHANGE OF USE OF EXISTING GROUND FLOOR FROM DOCTORS SURGERY (USE CLASS D1) TO A ONE-BEDROOM SELF CONTAINED FLAT (USE CLASS C3) WITH REPLACEMENT WINDOWS AND FRONT ENTRANCE AND REAR DOORS,,"Surgery, Rowland Hill House",Nelson Square,SE1 0LT,CATHEDRALS,26/06/2015,09/09/2017,1,1,
15-AP-2833,Full,Conversion of office (use class B1) to a self-contained flat (use class C3),,,Pomeroy Street,SE14 5BY,NUNHEAD,18/11/2015,01/05/2018,1,1,
17-AP-3282,S191 Certificate of Existing Lawful Use,"Conversion of two bedsits into a one bedroom, two person flat.",,102 And 103 Elim Estate,Weston Street,SE1 4DD,CHAUCER,03/10/2017,03/10/2017,1,1,
