ref,Permission Type,Development Description,Scheme Name,Site Name,Primary Street Name,Post Code,EAST DULWICH,Permission Date,Date construction completed,Proposed Total Residential Units,Proposed Total Affordable Units,CashinLieuAffordableHousing
06-AP-0541,Full,"Construction of two residential blocks, 1 x three storey block fronting Peckham Hill Street and 1 x 3 storey block to rear of site creating total of 14 flats (2 x 1-bed , 9 x 2-bed, 3 x 3-bed), with assoc amenity space, 6 off-street car parking spaces, bicycle storage - RE-SUBMISSION",,32,Peckham Hill Street,SE15 6BN,LIVESEY,15/10/2007,16/02/2009,14,14,
06-AP-1376,Full,"Alterations to previous p.p. 04-AP-2348: 18 additional dwellings in building fronting Abbey St for total 3x studios, 35x 1-bed, 30x 2-bed, 8x 3-bed flats + balconies; also elevational changes to bldng on Tower Bridge Rrd + cycle store. Prev perm = Redevelopment of New Caledonian antiques market to provide three new buildings; two of which are positioned around a central public square: _x005F_x000D_
_x005F_x000D_
Building A (facing Tower Bridge Road and Abbey Street) - part six, part eight and part ten storey building  comprising a mix of retail (Class A1), offices (Class B1), arts/leisure, cafe/restaurant uses (Class A3) and 56 flats on upper floors;_x005F_x000D_
_x005F_x000D_
Building B (facing Bermondsey Street): seven storeys with market store and cafe/restaurant (Class A3) on ground and first floors with hotel on upper floors and roof top bar ; _x005F_x000D_
_x005F_x000D_
Building C (facing Long Walk): part three and part four storeys comprising 14 flats; and Provision of landscaped public square to accommodate 200 market stalls.",,"New Caledonian Market, Bermondsey Square",Tower Bridge Road,SE1,CHAUCER,28/06/2007,30/09/2011,90,14,"292,704"
09-AP-0604,Full,Erection of 5-storey building comprising 14 self-contained flats. Housing mix amended under approved application 12/AP/1548,,23,Rotherhithe Old Road,SE16 2PP,ROTHERHITHE,01/07/2010,03/03/2015,14,14,0
10-AP-0614,Full,"Development of fourteen flats over three storeys (2 x 1 bed, 10 x 2 bed, 2 x 3 bed) with associated hard and soft landscaping, parking and refuse facilities.",,8,Lynton Road,SE1 5QR,SOUTH BERMONDSEY,23/09/2010,31/03/2012,14,14,0
12-AP-3127,Full,"Demolition of the existing building and erection of a building of between 3 and 6 storeys in height to provide 51 residential units (16 x 1 bed, 25 x 2 bed and 10 x 3 bed) with ancillary car parking, cycle storage and landscaping. The proposal would retain the existing war memorial fronting Old Jamaica Road.",,2,Old Jamaica Road,SE16 4AN,RIVERSIDE,04/03/2013,03/03/2015,51,14,
13-AP-3815,Full,"REDEVELOPMENT OF 235-241 UNION ST (OCTAVIA HOUSE) INCLUDING GARAGES AND SUBSTATION TO THE REAR AND ADJOINING NETWORK RAIL LAND TO PROVIDE A 14 STOREY BUILDING (MAX HEIGHT 44.2M) FOR THE LONDON CENTRE FOR CONTEMPORARY MUSIC AT BASEMENT, GROUND, FIRST, SECOND, THIRD FOURTH FLOORS (USE CLASS D1) A GROUND FLOOR CAFE (CLASS A3) AND 55 RESIDENTIAL UNITS (CLASS C3) ACROSS THE 5TH TO 14TH FLOORS INCLUDING ASSOCIATED CYCLE PARKING, ONE ON-SITE CAR PARKING SPACE; REPROVISION OF 8 GARAGES AND LANDSCAPED PUBLIC REALM",,"Octiavia House, 235-241",Union St,SE1 0LR,CATHEDRALS,19/08/2014,01/01/2017,55,14,"1,100,000"
04-AP-0680,Full,Construction of a 3 storey building of 13 flats on vacant site.,,"Gloucester Grove Est, Between 15-17 & 39-41",Newent Close,SE15,BRUNSWICK PARK,01/12/2004,31/08/2008,13,13,
04-AP-1477,Outline,Redevelop College Annexe for residential use.,,"Camberwell Art College Annexe,  166",Sumner Road,SE15 6JL,PECKHAM,29/12/2005,31/03/2013,39,13,
08-AP-0749,Full,Erection of part 4/ 6/ 7 storey building of 13 flats plus ground floor A1/ A3 use; ancillary plant and cycle store.,,The Island Site,Long Walk,SE1 3UN,GRANGE,11/08/2008,12/08/2011,13,13,"493,938"
10-AP-3173,Full,Erection of a 3 storey block with roof terrace comprising a total of  13 residential units,,25 - 35,Chesterfield Way,SE15 2LL,NUNHEAD,22/03/2011,31/03/2013,13,13,
11-AP-1390,Full,"Demolition of the existing building and redevelopment of the site by the erection of a part 2, 3, 4 and 5 storey building (5 storeys fronting Grange Road) comprising 38 residential units (2 x studio, 11 x 1 bed, 17 x 2 bed and 8 x 3 bed); 4 car parking spaces and 46 secure cycle parking spaces within the rear courtyard and ancillary landscaping.",,177 -184,Grange Road,SE1 3AA,GRANGE,10/08/2011,19/06/2013,38,13,0
13-AP-4420,Full,"Construction of 13 residential units comprising 5 x 2 bed units within a new 6 storey building located between the Elliston and Wilkins buildings and 8 further residential units (4 x 1 bed, 2 x 2 bed and 2 x 3 bed) within a single storey extension creating a fifth floor across both Elliston and Wilkins buildings. Associated circulation space, bike store (providing 20 cycle spaces), bin store and 1 disabled parking space.",,George Elliston House,Old Kend Road,SE1 5ET,SOUTH BERMONDSEY,01/05/2014,09/08/2016,13,13,
04-AP-1685,Full,Construction of 3 storey building for 12x residential flats.,,"Ex Star Of India P.H.,  Junction Of",Brayards Road,SE15,THE LANE,06/01/2005,30/11/2008,12,12,
06-AP-2081,Full,"The erection of part seven/ eight storey building comprising two office (class B1) units on ground floor and 38 residential units (4, three bedroom, 15 two bedroom, and 19 one bedroom units) on the upper floors, together with three off street parking spaces, cycle storage and ancillary cycle parking",,Gedling Mission Hall,Sweeney Crescent,SE1 2DS,RIVERSIDE,24/08/2007,30/09/2009,38,12,
09-AP-1342,Full,"Erection of twelve houses including one bungalow (remainder two storey with pitched roofs), one on-site parking space.",,Site Adjacent To 19,Rosenthorpe Street,SE15 3EG,PECKHAM RYE,22/01/2009,30/06/2011,12,12,0
09-AP-2130,Full,"Construction of a three / four storey block consisting of twelve new dwellings (5 x 4 bedroom houses, 1 x 4 bedroom maisonette, 5 x 2 bedroom flats and 1 x 1 bedroom flat) with associated landscaping and cycle parking.",,Land Adjacent To 114,Woodland Road,SE19 1PA,COLLEGE,29/09/2009,31/01/2012,12,12,
